text_id	utterance_id	audio_file	speaker	device	command	token_id	form	lemma	upos	xpos	feats	head	deprel	iob_tag	intent	slot_type	slot_value
txt_000	utt_000	audio/man/2/conditioner/автоматический_режим.ogg	man	conditioner	автоматический_режим	1	автоматический	автоматический	ADJ	_	Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	0	root	B-MODE	change_mode	MODE	_
txt_000	utt_000	audio/man/2/conditioner/автоматический_режим.ogg	man	conditioner	автоматический_режим	2	режим	режим	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	1	obj	I-MODE	change_mode	MODE	_
txt_001	utt_001	audio/man/2/conditioner/вентиляция.ogg	man	conditioner	вентиляция	1	вентиляция	вентиляция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	0	root	B-MODE	change_mode	MODE	_
txt_002	utt_002	audio/man/2/conditioner/включи_кондиционер.ogg	man	conditioner	включи_кондиционер	1	включи	включи	VERB	_	Mood=Imp|Number=Sing|Person=2|VerbForm=Fin	0	root	O	turn_on	_	_
txt_002	utt_002	audio/man/2/conditioner/включи_кондиционер.ogg	man	conditioner	включи_кондиционер	2	кондиционер	кондиционер	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	1	obj	B-DEVICE	turn_on	DEVICE	_
txt_003	utt_003	audio/man/2/conditioner/включи_через_час.ogg	man	conditioner	включи_через_час	1	включи	включи	VERB	_	Mood=Imp|Number=Sing|Person=2|VerbForm=Fin	0	root	O	timer_on	_	_
txt_003	utt_003	audio/man/2/conditioner/включи_через_час.ogg	man	conditioner	включи_через_час	2	через	через	ADP	_	_	1	advmod	O	timer_on	_	_
txt_003	utt_003	audio/man/2/conditioner/включи_через_час.ogg	man	conditioner	включи_через_час	3	час	час	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	1	obj	B-TIME	timer_on	TIME	_
txt_004	utt_004	audio/man/2/conditioner/выключи_кондиционер.ogg	man	conditioner	выключи_кондиционер	1	выключи	выключи	VERB	_	Mood=Imp|Number=Sing|Person=2|VerbForm=Fin	0	root	O	turn_off	_	_
txt_004	utt_004	audio/man/2/conditioner/выключи_кондиционер.ogg	man	conditioner	выключи_кондиционер	2	кондиционер	кондиционер	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	1	obj	B-DEVICE	turn_off	DEVICE	_
